"acousticness" "duration" "energy" "liveness" "loudness" "tempo"
"326" 0.186 205977 0.766 0.218 -5.428 93.358
"327" 0.0624 182000 0.555 0.0298 -10.694 168.164
"328" 0.502 179213 0.329 0.562 -8.556 148.524
"329" 0.964 287893 0.0601 0.145 -22.852 74.339
"330" 0.0995 180512 0.566 0.0385 -7.968 92.119
"331" 0.977 155947 0.0935 0.11 -18.586 82.023
"332" 0.994 483853 0.244 0.104 -14.09 93.302
"333" 0.0102 228720 0.624 0.0944 -5.37 159.937
"334" 0.143 206520 0.612 0.135 -5.484 133.765
"335" 0.911 142053 0.402 0.405 -11.859 108.61
"336" 0.871 162733 0.0594 0.122 -17.529 109.213
"337" 0.236 204560 0.829 0.376 -7.407 154.101
"338" 0.0246 243173 0.871 0.181 -5.31 144.064
"339" 0.101 252867 0.885 0.247 -5.437 160.03
"340" 0.354 162760 0.295 0.107 -13.727 74.945
"341" 0.996 160787 0.407 0.296 -16.127 134.869
"342" 0.881 124333 0.498 0.253 -12.688 76.262
"343" 0.279 128040 0.408 0.0973 -12.324 140.785
"344" 0.118 218293 0.894 0.0873 -3.477 94.374
"345" 0.114 233173 0.862 0.285 -3.519 99.021
"346" 0.675 148107 0.484 0.0903 -5.893 80.812
"347" 0.135 234573 0.561 0.306 -12.594 120.325
"348" 0.227 231933 0.521 0.165 -5.373 131.937
"349" 0.847 218973 0.194 0.153 -12.811 149.784
"350" 0.926 288760 0.177 0.294 -17.299 70.959
"351" 0.259 143520 0.443 0.168 -12.805 105.926
"352" 0.471 523760 0.253 0.121 -17.518 95.527
"353" 0.565 211293 0.743 0.301 -9.768 128.987
"354" 0.782 155067 0.55 0.268 -11.649 159.761
"355" 0.155 237173 0.643 0.299 -6.876 80.941
"356" 0.00805 304000 0.938 0.138 -4.507 157.462
"357" 0.345 186933 0.868 0.204 -7.156 94.987
"358" 0.731 140500 0.115 0.477 -22.849 55.821
"359" 0.661 130400 0.185 0.309 -19.684 67.73
"360" 0.64 154733 0.368 0.0601 -12.024 112.5
"361" 0.115 252267 0.348 0.0366 -11.791 76.702
"362" 0.825 149533 0.623 0.0593 -7.206 98.15
"363" 0.907 232949 0.0877 0.102 -12.871 76.054
"364" 0.959 290800 0.0698 0.157 -25.044 95.7
"365" 0.96 176520 0.308 0.365 -11.895 65.712
"366" 0.988 123960 0.307 0.384 -15.598 121.544
"367" 0.0389 200625 0.472 0.642 -7.74 82.601
"368" 0.161 168333 0.652 0.188 -10.642 165.098
"369" 0.993 199395 0.0867 0.106 -13.952 71.852
"370" 0.00371 45960 0.933 0.0803 -4.463 137.523
"371" 0.935 162373 0.0337 0.0947 -15.195 69.304
"372" 0.000641 164333 0.973 0.0423 -5.303 127.721
"373" 0.944 62373 0.374 0.285 -16.109 129.702
"374" 0.97 178333 0.101 0.144 -15.386 88.163
"375" 0.55 180120 0.411 0.141 -5.979 96.965
"376" 0.989 139120 0.174 0.201 -21.006 129.911
"377" 0.908 181787 0.17 0.208 -15.148 94.403
"378" 0.617 159200 0.618 0.562 -9.665 122.411
"379" 0.886 142053 0.0653 0.0954 -19.887 63.581
"380" 0.0771 628107 0.824 0.282 -9.968 113.33
"381" 0.936 197165 0.302 0.285 -12.32 67.751
"382" 0.232 285333 0.873 0.114 -3.373 90.004
"383" 0.00165 159500 0.504 0.0933 -8.552 97.502
"384" 0.993 130027 0.338 0.157 -17.728 130.623
"385" 0.322 167400 0.719 0.308 -8.342 137.949
"386" 0.0019 236427 0.906 0.344 -2.892 177.956
"387" 0.351 235800 0.533 0.236 -7.873 90.064
"388" 0.99 190827 0.309 0.331 -13.208 70.959
"389" 6.57e-06 473067 0.949 0.992 -5.735 124.283
"390" 0.829 599041 0.521 0.136 -24.962 172.792
"391" 0.402 441040 0.745 0.105 -9.49 120.587
"392" 0.743 528640 0.331 0.0596 -11.954 82.317
"393" 0.549 159800 0.456 0.34 -15.226 77.896
"394" 0.108 284444 0.756 0.0762 -6.307 135.102
"395" 0.969 174446 0.161 0.316 -13.525 82.685
"396" 0.59 126640 0.721 0.0526 -7.525 181.173
"397" 0.993 204226 0.0925 0.161 -14.75 81.267
"398" 0.115 166427 0.437 0.497 -14.848 114.136
"399" 0.988 704653 0.237 0.514 -15.702 116.514
"400" 0.503 317400 0.335 0.0741 -14.09 125.359
"401" 0.0395 169715 0.934 0.15 -6.766 109.98
"402" 0.996 246880 0.206 0.118 -14.913 71.352
"403" 0.995 194053 0.546 0.268 -11.187 115.03
"404" 0.873 150661 0.676 0.0892 -4.85 93.767
"405" 0.494 227653 0.778 0.322 -8.601 114.265
"406" 0.951 189720 0.0771 0.161 -18.644 167.849
"407" 0.461 135240 0.521 0.0991 -8.016 172.083
"408" 0.35 173600 0.683 0.0604 -5.866 116.301
"409" 0.222 199840 0.602 0.296 -12.921 120.522
"410" 0.259 235267 0.734 0.213 -4.741 209.774
"411" 0.0243 199827 0.627 0.366 -10.59 121.608
"412" 0.00185 440000 0.837 0.11 -6.791 132.024
"413" 0.00186 290427 0.878 0.583 -6.382 176.875
"414" 0.0706 228867 0.794 0.212 -6.407 112.8
"415" 0.278 325333 0.743 0.329 -6.597 77.786
"416" 0.534 171733 0.869 0.0515 -3.604 104.541
"417" 0.114 282533 0.518 0.137 -13.048 137.65
"418" 0.000395 284955 0.665 0.0593 -7.701 175.339
"419" 0.682 151467 0.124 0.0919 -19.79 83.467
"420" 0.503 154480 0.198 0.249 -19.669 172.329
"421" 0.23 322169 0.581 0.142 -10.532 123.213
"422" 0.365 216907 0.734 0.132 -4.668 123.84
"423" 0.939 236227 0.211 0.109 -11.973 169.503
"424" 0.842 802867 0.156 0.0963 -18.905 140.517
"425" 0.257 217093 0.972 0.165 -3.502 135.922
